Date,Adj Close,Close,High,Low,Open,Volume
2021-01-04,114.8758544921875,125.87000274658203,127.86000061035156,124.77999877929688,127.5,16819900
2021-01-05,115.50093841552734,125.6500015258789,126.30000305175781,123.7699966430664,124.98999786376953,13731200
2021-01-06,120.92440032958984,131.5500030517578,132.77000427246094,127.87999725341797,129.8800048828125,24909100
2021-01-07,124.89543914794922,135.8699951171875,138.19000244140625,134.9199981689453,135.69000244140625,21940400
2021-01-08,125.03336334228516,136.02000427246094,136.35000610351562,134.1199951171875,135.97000122070312,12035100
2021-01-11,126.89937591552734,138.0500030517578,138.1999969482422,134.11000061035156,134.5800018310547,15937900
2021-01-12,128.8940887451172,140.22000122070312,141.66000366210938,138.8300018310547,139.44000244140625,18033500
2021-01-13,129.0136260986328,140.35000610351562,140.7899932861328,138.10000610351562,138.58999633789062,14816800
2021-01-14,129.76736450195312,141.1699981689453,142.75,140.0,140.49000549316406,18565600
2021-01-15,127.44170379638672,138.63999938964844,141.64999389648438,137.00999450683594,137.42999267578125,27881000
2021-01-19,126.89017486572266,138.0399932861328,140.6999969482422,137.82000732421875,139.86000061035156,19843800
2021-01-20,124.98738861083984,135.97000122070312,138.1699981689453,135.44000244140625,137.82000732421875,16028800
2021-01-21,123.93946075439453,134.8300018310547,136.16000366210938,134.32000732421875,135.69000244140625,13411700
2021-01-22,122.98345184326172,133.7899932861328,134.39999389648438,132.1999969482422,132.69000244140625,12933200
2021-01-25,121.44833374023438,132.1199951171875,133.1699981689453,130.05999755859375,132.13999938964844,14212800
2021-01-26,120.95194244384766,131.5800018310547,133.1699981689453,131.33999633789062,132.75,11307800
2021-01-27,117.53244018554688,127.86000061035156,129.85000610351562,127.3499984741211,129.58999633789062,17603900
2021-01-28,119.60070037841797,130.11000061035156,132.1699981689453,128.99000549316406,129.89999389648438,13761800
2021-01-29,118.27699279785156,128.6699981689453,131.72000122070312,128.19000244140625,131.19000244140625,14808100
2021-02-01,119.15025329589844,129.6199951171875,130.07000732421875,128.47999572753906,129.39999389648438,11080700
2021-02-02,122.8179931640625,133.61000061035156,134.38999938964844,131.22000122070312,131.94000244140625,12253600
2021-02-03,124.22440338134766,135.13999938964844,135.75999450683594,133.50999450683594,133.64999389648438,10600800
2021-02-04,127.08320617675781,138.25,138.66000366210938,135.47000122070312,135.47000122070312,12419500
2021-02-05,126.83502960205078,137.97999572753906,139.49000549316406,137.3800048828125,139.38999938964844,10051300
2021-02-08,128.82054138183594,140.13999938964844,140.3000030517578,138.17999267578125,138.1999969482422,10136400
2021-02-09,128.30577087402344,139.5800018310547,139.97999572753906,138.5399932861328,139.42999267578125,8614800
2021-02-10,128.37930297851562,139.66000366210938,140.8699951171875,139.0399932861328,140.0,10323200
2021-02-11,128.02084350585938,139.27000427246094,140.5500030517578,138.22000122070312,139.66000366210938,9201000
2021-02-12,129.8408966064453,141.25,141.61000061035156,139.0,139.0500030517578,8324600
2021-02-16,132.96624755859375,144.64999389648438,145.32000732421875,142.39999389648438,143.5500030517578,12130600
2021-02-17,133.37991333007812,145.10000610351562,145.3800048828125,143.1199951171875,143.9499969482422,10810100
2021-02-18,133.83030700683594,145.58999633789062,145.7899932861328,143.39999389648438,144.0,10587800
2021-02-19,136.0640869140625,148.02000427246094,148.83999633789062,145.86000061035156,145.86000061035156,11969800
2021-02-22,137.341796875,149.41000366210938,150.19000244140625,146.7899932861328,146.8699951171875,11488400
2021-02-23,138.4448699951172,150.61000061035156,152.30999755859375,149.58999633789062,151.50999450683594,16234400
2021-02-24,140.8808135986328,153.25999450683594,153.75999450683594,150.11000061035156,150.11000061035156,15061400
2021-02-25,138.96878051757812,151.17999267578125,154.89999389648438,150.58999633789062,154.27000427246094,18127700
2021-02-26,135.28271484375,147.1699981689453,150.8699951171875,146.50999450683594,150.3000030517578,19829200
2021-03-01,138.34375,150.5,151.3800048828125,148.47999572753906,149.52000427246094,14845500
2021-03-02,137.89329528808594,150.00999450683594,151.77999877929688,149.83999633789062,150.0800018310547,14221700
2021-03-03,140.55908203125,152.91000366210938,154.97999572753906,150.82000732421875,151.22999572753906,14324100
2021-03-04,138.39889526367188,150.55999755859375,154.3800048828125,148.6199951171875,152.61000061035156,20093900
2021-03-05,138.7206268310547,150.91000366210938,153.49000549316406,147.97000122070312,153.22000122070312,18465100
2021-03-08,140.55908203125,152.91000366210938,155.4600067138672,150.75,152.47000122070312,17133300
2021-03-09,139.56629943847656,151.8300018310547,154.25,149.82000732421875,151.5,16238800
2021-03-10,142.59976196289062,155.1300048828125,156.16000366210938,151.50999450683594,151.91000366210938,14342200
2021-03-11,141.85520935058594,154.32000732421875,156.14999389648438,153.36000061035156,154.11000061035156,11771500
2021-03-12,143.53736877441406,156.14999389648438,157.6300048828125,155.07000732421875,156.86000061035156,12849500
2021-03-15,142.82037353515625,155.3699951171875,156.9199981689453,153.9600067138672,156.35000610351562,12101100
2021-03-16,141.11061096191406,153.50999450683594,154.60000610351562,152.19000244140625,154.08999633789062,12805600
2021-03-17,142.56300354003906,155.08999633789062,156.8800048828125,153.0500030517578,155.33999633789062,13952400
2021-03-18,144.9162139892578,157.64999389648438,161.69000244140625,157.11000061035156,157.60000610351562,21898500
2021-03-19,142.60894775390625,155.13999938964844,155.94000244140625,151.19000244140625,155.50999450683594,54418800
2021-03-22,138.77578735351562,150.97000122070312,153.97000122070312,150.61000061035156,152.8000030517578,19944800
2021-03-23,137.3877716064453,149.4600067138672,152.1199951171875,148.9600067138672,150.3300018310547,17076300
